epoch,accuracy,loss,recall,val_accuracy,val_loss,val_recall
0,0.530917227268219,0.7022538185119629,0.5471030473709106,0.86570143699646,0.6289435625076294,0.07174888253211975
1,0.5834764838218689,0.6686463356018066,0.5833702087402344,0.614578127861023,0.6958175301551819,0.8520179390907288
2,0.6045173406600952,0.6562752723693848,0.5827067494392395,0.8502246737480164,0.6027235388755798,0.1704035848379135
3,0.6281346678733826,0.6465662121772766,0.5751879811286926,0.7603594660758972,0.6560273170471191,0.5470852255821228
4,0.6407591700553894,0.6394107341766357,0.5681114792823792,0.7738392353057861,0.6445286870002747,0.4932735562324524
5,0.6491755247116089,0.635715663433075,0.5798319578170776,0.8327508568763733,0.6031931042671204,0.30493274331092834
6,0.6495190858840942,0.6300700306892395,0.5751879811286926,0.5217174291610718,0.7224254608154297,0.9686098694801331
7,0.6634318232536316,0.6248558163642883,0.5897833108901978,0.864203691482544,0.5417744517326355,0.17937219142913818
8,0.6690140962600708,0.6206390261650085,0.5809376239776611,0.8282576203346252,0.595954954624176,0.34529146552085876
9,0.6660082340240479,0.6209853291511536,0.5939849615097046,0.8117823004722595,0.6056874394416809,0.4035874307155609
10,0.6639471054077148,0.6160154342651367,0.5871295928955078,0.7928107976913452,0.6140934824943542,0.4708520174026489
11,0.6633459329605103,0.6172344088554382,0.5871295928955078,0.7648527026176453,0.6305360198020935,0.5829596519470215
12,0.6670387983322144,0.613312840461731,0.5771782398223877,0.713429868221283,0.6563887596130371,0.7309417128562927
